id,url,genre_raw,form_label,title_full,author,book_name,book_id,year,period,text,body_len
klc:ITKC_MO_0002A_0040_020_0150,https://db.itkc.or.kr/dir/item?itemId=MO#/dir/node?dataId=ITKC_MO_0002A_0040_020_0150&viewSync=KP&viewSync2=TR,詩,general,孤雲先生文集卷之一 / 詩,최치원(崔致遠),고운집(孤雲集),ITKC_MO_0002A,1926.0,final_joseon,烟巒簇簇水溶溶。鏡裏人家對碧峰。何處孤帆飽風去。瞥然飛鳥杳無蹤。,32
klc:ITKC_MO_0002A_0040_020_0160,https://db.itkc.or.kr/dir/item?itemId=MO#/dir/node?dataId=ITKC_MO_0002A_0040_020_0160&viewSync=KP&viewSync2=TR,詩,general,孤雲先生文集卷之一 / 詩,최치원(崔致遠),고운집(孤雲集),ITKC_MO_0002A,1926.0,final_joseon,狂奔疊石吼重巒。人語難分咫尺間。常恐是非聲到耳。故敎流水盡籠山。,32
klc:ITKC_MO_0002A_0040_020_0170,https://db.itkc.or.kr/dir/item?itemId=MO#/dir/node?dataId=ITKC_MO_0002A_0040_020_0170&viewSync=KP&viewSync2=TR,詩,general,孤雲先生文集卷之一 / 詩,최치원(崔致遠),고운집(孤雲集),ITKC_MO_0002A,1926.0,final_joseon,上國羇栖久。多慚萬里人。那堪顏氏巷。得接孟家隣。守道惟稽古。交情豈憚貧。他鄕少知己。莫厭訪君頻。,48
klc:ITKC_MO_0002A_0040_020_0180,https://db.itkc.or.kr/dir/item?itemId=MO#/dir/node?dataId=ITKC_MO_0002A_0040_020_0180&viewSync=KP&viewSync2=TR,詩,general,孤雲先生文集卷之一 / 詩,최치원(崔致遠),고운집(孤雲集),ITKC_MO_0002A,1926.0,final_joseon,雲畔構精廬。安禪四紀餘。筇無出山步。筆絶入京書。竹架泉聲緊。松欞日影疎。境高吟不盡。瞑目悟眞如。,48
klc:ITKC_MO_0002A_0040_020_0190,https://db.itkc.or.kr/dir/item?itemId=MO#/dir/node?dataId=ITKC_MO_0002A_0040_020_0190&viewSync=KP&viewSync2=TR,詩,general,孤雲先生文集卷之一 / 詩,최치원(崔致遠),고운집(孤雲集),ITKC_MO_0002A,1926.0,final_joseon,捫葛上雲峰。平看世界空。千山分掌上。萬事豁胷中。塔影日邊雪。松聲天半風。烟霞應笑我。回步入塵籠。,48
klc:ITKC_MO_0002A_0040_020_0200,https://db.itkc.or.kr/dir/item?itemId=MO#/dir/node?dataId=ITKC_MO_0002A_0040_020_0200&viewSync=KP&viewSync2=TR,詩,general,孤雲先生文集卷之一 / 詩,최치원(崔致遠),고운집(孤雲集),ITKC_MO_0002A,1926.0,final_joseon,人事盛還衰。浮生實可悲。誰知天上曲。來向海邊吹。水殿看花處。風欞對月時。攀髯今已矣。與爾淚雙垂。,48
klc:ITKC_MO_0002A_0040_020_0210,https://db.itkc.or.kr/dir/item?itemId=MO#/dir/node?dataId=ITKC_MO_0002A_0040_020_0210&viewSync=KP&viewSync2=TR,詩,general,孤雲先生文集卷之一 / 詩,최치원(崔致遠),고운집(孤雲集),ITKC_MO_0002A,1926.0,final_joseon,登臨蹔隔路歧塵。吟想興亡恨益新。畫角聲中朝暮浪。靑山影裏古今人。霜摧玉樹花無主。風暖金陵艸自春。賴有謝家餘境在。長敎詩客爽精神。,64
klc:ITKC_MO_0002A_0040_020_0220,https://db.itkc.or.kr/dir/item?itemId=MO#/dir/node?dataId=ITKC_MO_0002A_0040_020_0220&viewSync=KP&viewSync2=TR,詩,general,孤雲先生文集卷之一 / 詩,최치원(崔致遠),고운집(孤雲集),ITKC_MO_0002A,1926.0,final_joseon,孤蓬再此接恩輝。吟對秋風恨有違。門柳已凋新歲葉。旅人猶着去年衣。路迷霄漢愁中老。家隔烟波夢裏歸。自笑身如春社鷰。畫樑高處又來飛。,64
klc:ITKC_MO_0002A_0040_020_0230,https://db.itkc.or.kr/dir/item?itemId=MO#/dir/node?dataId=ITKC_MO_0002A_0040_020_0230&viewSync=KP&viewSync2=TR,詩,general,孤雲先生文集卷之一 / 詩,최치원(崔致遠),고운집(孤雲集),ITKC_MO_0002A,1926.0,final_joseon,自識君來幾度別。此回相別恨重重。干戈到處方多事。詩酒何時得再逢。遠樹參差江畔路。寒雲零落馬前峰。行行遇景傳新作。莫學嵇康盡放慵。,64
klc:ITKC_MO_0002A_0040_020_0240,https://db.itkc.or.kr/dir/item?itemId=MO#/dir/node?dataId=ITKC_MO_0002A_0040_020_0240&viewSync=KP&viewSync2=TR,詩,general,孤雲先生文集卷之一 / 詩,최치원(崔致遠),고운집(孤雲集),ITKC_MO_0002A,1926.0,final_joseon,叵耐東流水不回。只催詩景惱人來。含情朝雨細復細。弄豔好花開未開。亂世風光無主者。浮生名利轉悠哉。思量可恨劉伶婦。強勸夫郎疎酒盃。,64
klc:ITKC_MO_0002A_0040_020_0250,https://db.itkc.or.kr/dir/item?itemId=MO#/dir/node?dataId=ITKC_MO_0002A_0040_020_0250&viewSync=KP&viewSync2=TR,詩,general,孤雲先生文集卷之一 / 詩,최치원(崔致遠),고운집(孤雲集),ITKC_MO_0002A,1926.0,final_joseon,東風遍閱百般香。意緖偏饒柳帶長。蘇武書回深塞盡。莊周夢逐落花忙。好憑殘景朝朝醉。難把離心寸寸量。正是浴沂時節日。舊遊魂斷白雲鄕。,64
klc:ITKC_MO_0002A_0040_020_0260,https://db.itkc.or.kr/dir/item?itemId=MO#/dir/node?dataId=ITKC_MO_0002A_0040_020_0260&viewSync=KP&viewSync2=TR,詩,general,孤雲先生文集卷之一 / 詩,최치원(崔致遠),고운집(孤雲集),ITKC_MO_0002A,1926.0,final_joseon,一種詩名四海傳。浪仙爭得似松年。喬字也。 不惟騷雅標新格。能把行藏繼古賢。藜杖夜携孤嶼月。葦簾朝捲遠村烟。病來吟寄漳濱句。因付漁翁入郭船。,69
klc:ITKC_MO_0002A_0040_020_0270,https://db.itkc.or.kr/dir/item?itemId=MO#/dir/node?dataId=ITKC_MO_0002A_0040_020_0270&viewSync=KP&viewSync2=TR,詩,general,孤雲先生文集卷之一 / 詩,최치원(崔致遠),고운집(孤雲集),ITKC_MO_0002A,1926.0,final_joseon,掛席浮滄海。長風萬里通。乘槎思漢使。採藥憶秦童。日月無何外。乾坤太極中。蓬萊看咫尺。吾且訪仙翁。,48
klc:ITKC_MO_0002A_0040_020_0280,https://db.itkc.or.kr/dir/item?itemId=MO#/dir/node?dataId=ITKC_MO_0002A_0040_020_0280&viewSync=KP&viewSync2=TR,詩,general,孤雲先生文集卷之一 / 詩,최치원(崔致遠),고운집(孤雲集),ITKC_MO_0002A,1926.0,final_joseon,崑崙東走五山碧。星宿北流一水黃。,16
