period,mean_conformity,std_conformity,count
pre_joseon,0.711864406779661,0.3243480175211506,59
early_joseon,0.9195621572212066,0.20232087291375384,547
mid_joseon,0.9134032573197399,0.22888132654708038,35213
late_joseon,0.9128542464561055,0.22538929214525555,16084
final_joseon,0.9231705509046719,0.212805924348531,7406
,0.9073516490765172,0.21652323462017256,6064
